S.No,District,Village Panchayat,School Name,School_id,Category of School,School medium,Pincode,School main area,School located in commerical area,establishment year,Number of Students,Number of Differently abled student,Number of Staff,Number of Classrooms,Number of seats,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Type of Water source,Number of Indian toilets availble for Boys,Number of Indian toilets availble for Girls,Status of the data set collected,Created_date,Modified_date
92,Vellore,Vadakkupattu,MMGM SCHOOL KHADERPET VNB,33041901517,High School,English,635751,Yes,Yes,1967,295,4,9,7,300,0,9890,0,0,No,No,No,Yes,Yes,No,No,1,5,Incompleted,10-03-2013,10-03-2013
93,Vellore,Vadakkupattu,MUNICIPAL MUSLIM BOYS PRIMARY SCHOOL,33041901522,Primary School,Tamil,635751,No,No,1952,21,0,3,5,6,0,1700,1700,1700,No,No,No,Yes,No,No,Own,1,0,Incompleted,10-03-2013,10-03-2013
94,Vellore,Vadakkupattu,MUNICIPAL MIDDLE SCHOOL KONAMEDU,33041901523,Secondary School,Tamil,635751,Yes,Yes,1967,212,6,10,8,0,0,6691,0,6691,Yes,No,Yes,Yes,No,Yes,Own,0,1,Incompleted,10-03-2013,10-03-2013
95,Vellore,Vaniyambadi,MUSLIM BOYS MIDDLE SHOOL,33041901524,High School,English,635751,Yes,No,1940,0,0,14,13,16,0,34000,0,4800,No,No,No,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
96,Vellore,Vadakkupattu,MUNICIPAL HINDU PUDUR,33041901525,Primary School,Tamil,635752,Yes,No,1941,130,0,6,6,0,1,0,6563,17137,No,No,No,Yes,Yes,Yes,Own,0,1,Incompleted,10-03-2013,10-03-2013
97,Vellore,Natrampalli,MUNICIPAL HINDU MIDDLE SCHOOL PERIYAPET,33041902901,High School,Tamil,635751,No,No,1948,130,2,6,10,0,8,7540,0,0,No,No,No,Yes,Yes,Yes,Own,0,2,Incompleted,10-03-2013,10-03-2013
98,Vellore,Tirupattur,ARIGNAR ANNA MUNICIPAL SCHOOL,33042102001,Primary School,Tamil,635601,No,No,1968,67,1,2,7,10,3,6340,4030,0,Yes,No,Yes,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
99,Vellore,Tirupattur,CKS MANI MUNICIPAL PRIMARY SCHOOL,33042102002,Primary School,Tamil,635601,Yes,No,1960,23,2,2,6,0,3,7975,2667,0,Yes,Yes,Yes,Yes,Yes,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
100,Vellore,Tirupattur,MUNIPAL PRIMARY SCHOOL SRI RAMNILAYAM,33042102003,Primary School,Tamil,635601,No,Yes,1946,23,0,2,3,0,2,1450,0,0,No,No,Yes,Yes,No,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
101,Vellore,Tirupattur,MUNICIPAL PRIMARY SCHOOL GOMTHAMPET,33042102004,Primary School,Tamil,635601,Yes,No,1940,63,1,2,4,45,0,1605,1605,1605,No,No,Yes,No,No,No,No,1,1,Incompleted,10-03-2013,10-03-2013
102,Vellore,Tirupattur,MUNICIPAL PRIMARY SCHOOL,33042102005,Primary School,Tamil,635601,No,No,1932,53,0,2,5,7,3,2400,0,0,No,No,Yes,Yes,Yes,No,No,6,1,Incompleted,10-03-2013,10-03-2013
103,Vellore,Tirupattur,MUNICIPAL OLD MUSLIM BOYS MIDDLE SCHOOL,33042102007,Primary School,Tamil,635601,No,Yes,1940,198,4,8,6,11,2,312,312,0,No,No,No,No,No,Yes,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
104,Vellore,Tirupattur,MPL OLD MUSLIM GRILS MIDDLE SCHOOL,33042102008,Secondary School,Tamil,635601,No,No,1938,177,1,7,6,12,0,373,373,0,No,No,No,No,No,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
105,Vellore,Tirupattur,MUNICIPAL URDU ELE SCHOOL,33042102010,Primary School,Tamil,635601,Yes,Yes,1926,12,0,2,2,10,2,1000,1000,0,No,No,No,No,No,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
106,Vellore,Tirupattur,V S V MUNICIPAL ELEMENTARY SCHOOL,33042102011,Primary School,Tamil,635601,Yes,No,1926,40,0,2,10,0,0,23927,0,0,No,No,Yes,No,Yes,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
107,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081200901,Primary School,Tamil,637101,Yes,No,1961,36,2,2,2,2,1,2852,1008,0,Yes,No,Yes,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
108,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081200902,Primary School,Tamil,637101,Yes,Yes,1968,146,3,5,4,0,0,3600,2900,700,No,No,No,Yes,No,No,No,1,1,Incompleted,10-03-2013,10-03-2013
109,Salem,Idappadi,MUNICIPAL ELEMENTARY SCHOOL,33081200903,Primary School,Tamil,637101,No,No,1988,35,0,2,2,72,0,9100,9100,9100,Yes,No,Yes,Yes,Yes,Yes,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
110,Salem,Idappadi,MUNICIPAL ELEMENTARY SCHOOL,33081200904,Primary School,Tamil,637101,No,No,1962,48,0,3,4,3,0,1760,1700,0,Yes,No,Yes,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
111,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081200905,Primary School,Tamil,637101,Yes,No,1962,46,2,3,2,80,0,7718,1380,6338,Yes,No,Yes,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
112,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081200906,Primary School,Tamil,637101,Yes,No,1940,46,2,3,2,80,0,7718,1380,6338,Yes,No,Yes,Yes,Yes,Yes,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
113,Salem,Idappadi,MUNICIPAL MIDDLE SCHOOL,33081201002,Secondary School,Tamil,637101,Yes,No,1941,400,5,11,8,12,0,4500,3213,3213,Yes,Yes,No,Yes,Yes,Yes,Own,1,4,Incompleted,10-03-2013,10-03-2013
114,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081201003,Primary School,Tamil,637101,Yes,Yes,1988,115,12,4,7,400,0,8208,4000,4092,No,No,No,Yes,Yes,Yes,Corporation,1,2,Incompleted,10-03-2013,10-03-2013
115,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081201004,Primary School,Tamil,637101,Yes,No,1973,177,3,6,4,0,0,4340,3840,0,No,No,No,No,No,No,No,1,1,Incompleted,10-03-2013,10-03-2013
116,Salem,Idappadi,MUNICIPAL ELEMENTARY SCHOOL,33081201101,Primary School,Tamil,637101,No,No,1940,89,4,5,5,5,0,2250,0,0,No,No,No,Yes,Yes,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
117,Salem,Idappadi,MUNICIPAL MIDDLE SCHOOL,33081201102,Secondary School,Tamil,637101,No,No,1963,271,0,8,6,10,0,43500,12980,0,No,No,No,Yes,Yes,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
118,Salem,Idappadi,MUNICIPAL ELEMENTARY SCHOOL,33081201103,Primary School,Tamil,637105,Yes,No,1962,54,0,2,2,2,1,2160,2160,2160,Yes,Yes,Yes,No,No,No,Corporation,4,0,Incompleted,10-03-2013,10-03-2013
119,Salem,Idappadi,MUNICIPAL PRIMARY SCHOOL,33081201203,Primary School,Tamil,637105,Yes,Yes,1970,117,0,6,6,0,0,3648,3648,0,No,No,No,Yes,Yes,No,Own,2,1,Incompleted,10-03-2013,10-03-2013
120,Salem,Attur,MUNICIPAL ELEMENTARY SCHOOL CHANDRAGIRI,33081302303,Primary School,Tamil,636102,Yes,No,1975,26,0,2,2,2,0,820,820,820,Yes,No,Yes,Yes,No,Yes,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
121,Salem,Attur,MUNICIPAL ELEMENTARY SCHOOL THERKKUKADU,33081302308,Primary School,Tamil,636141,No,No,1946,52,1,2,2,4,0,3530,1877,0,Yes,No,No,Yes,Yes,Yes,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
122,Salem,Attur,MUNICIPAL MIDDLE SCHOOL MULLIVADI ATTUR,33081302314,Secondary School,Tamil,636141,No,No,1986,191,4,9,10,2,1,19090,6487,19090,Yes,No,Yes,Yes,Yes,Yes,Own,0,2,Incompleted,10-03-2013,10-03-2013
123,Salem,Mettur Municipality,KUMARAN NAGAR,33081501401,Primary School,Tamil,636401,No,No,1962,25,4,2,4,0,0,26800,3000,21500,Yes,Yes,Yes,Yes,No,Yes,Corporation,0,3,Incompleted,10-03-2013,10-03-2013
124,Salem,Mettur Municipality,PONNAGAR,33081501402,Primary School,Tamil,636401,Yes,No,1967,26,1,1,8,120,1,4800,2000,2800,No,No,Yes,Yes,Yes,Yes,Corporation,1,2,Incompleted,10-03-2013,10-03-2013
125,Salem,Mettur Municipality,THOKKANAMPATTY,33081501408,Primary School,Tamil,636401,Yes,Yes,1964,26,7,2,4,12,0,5,1.5,0,No,No,No,Yes,No,Yes,Corporation,0,3,Incompleted,10-03-2013,10-03-2013
126,Salem,Mettur Municipality,THANGAMAPURI PATTINAM,33081501419,Primary School,Tamil,636402,No,No,1913,0,1,2,10,0,4,21366,4200,17166,No,No,Yes,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
127,Namakkal,Namakkal,MUNICIPAL ELEMENTY SCHOOL,33090100402,Primary School,Tamil,637001,Yes,No,1925,294,1,10,17,0,1,0,405,0,Yes,No,Yes,No,No,No,Corporation,1,2,Incompleted,10-03-2013,10-03-2013
128,Namakkal,Namakkal,MUNICIPAL URUDU PRIMARY SCHOOL,33090100403,Primary School,Tamil,637001,Yes,Yes,1948,22,1,3,2,11,0,0,200,0,No,No,Yes,Yes,No,Yes,Corporation,3,1,Incompleted,10-03-2013,10-03-2013
129,Namakkal,Vettambadi,MUNICIPAL MIDDLE SCHOOL,33090100414,Primary School,Tamil,637001,No,No,1981,158,2,8,8,44,0,11327,5827,11327,No,No,No,Yes,No,No,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
130,Namakkal,Namakkal,MUNICIPAL HIGH SCHOOL FORT,33090100420,Secondary School,Tamil,637001,Yes,Yes,1959,844,11,29,20,211,2,38370,31370,7000,Yes,No,No,Yes,No,No,Corporation,3,11,Incompleted,10-03-2013,10-03-2013
131,Namakkal,Rasipuram,MUNICIPAL ELEMENTARY SCHOOL ANNASALAI,33090700401,Primary School,Tamil,637408,Yes,Yes,1975,104,0,4,4,0,0,2500,2000,500,Yes,No,No,Yes,Yes,Yes,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
132,Namakkal,Rasipuram,MUNICIPAL ELEMENTARY SCHOOL PACHI STREET,33090700403,Primary School,Tamil,637408,No,Yes,1985,35,2,2,4,0,0,2016,1947,69,No,No,Yes,Yes,Yes,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
133,Namakkal,Rasipuram,MUNICIPAL MIDDLE SCHOOL KATTUR,33090700406,Secondary School,Tamil,637408,No,No,1975,103,0,7,6,0,0,10500,4802,5698,No,No,No,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
134,Namakkal,Tiruchengode,MUNICIPAL PRIMARY SCHOOL SENGODAMPALYAM,33091000701,Primary School,Tamil,637209,No,No,1945,58,1,3,4,0,0,1400,900,1400,No,No,No,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
135,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL SEETHARAMPALAYAM,33091001502,Primary School,Tamil,637209,Yes,Yes,1975,138,1,8,7,210,3,9800,4900,0,Yes,Yes,Yes,Yes,Yes,No,Own,3,1,Incompleted,10-03-2013,10-03-2013
136,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL MALAIYADIVARAM,33091001601,Primary School,Tamil,637211,Yes,Yes,1980,169,11,10,11,60,5,4200,4200,6880,Yes,No,No,Yes,Yes,No,No,2,2,Incompleted,10-03-2013,10-03-2013
137,Namakkal,Tiruchengode,MUNICIPAL PRIMARY SCHOOL CHINNAPAVADI,33091001602,Primary School,Tamil,637211,No,No,1978,108,5,5,7,320,1,6400,1060,5340,No,No,No,No,No,No,Corporation,1,2,Incompleted,10-03-2013,10-03-2013
138,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL SANARPALAYAM,33091001604,Primary School,Tamil,637209,No,No,1953,240,5,9,8,0,0,13650,1326,10924,No,No,No,Yes,No,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
139,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL SURIYAMPALAYAM,33091001605,Primary School,Tamil,637209,Yes,Yes,1961,266,1,11,9,70,0,20680,16360,4000,No,No,No,No,No,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
140,Namakkal,Tiruchengode,MUNICIPAL PRIMARY SCHOOL SATTAIYAMPUDUR,33091001607,Primary School,Tamil,637211,No,No,1987,126,2,5,10,600,4,27300,12000,27300,No,No,No,Yes,Yes,No,Own,0,2,Incompleted,10-03-2013,10-03-2013
141,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL KOTTAPALLI,33091001610,Primary School,Tamil,637214,No,No,1975,176,7,8,8,250,1,7158,3320,3838,No,No,No,No,No,No,Own,1,4,Incompleted,10-03-2013,10-03-2013
142,Namakkal,Tiruchengode,MUNICIPAL MIDDLE SCHOOL T KOLLAPATTI,33091001611,Primary School,Tamil,637214,Yes,No,1952,141,2,7,8,36,3,7508,4028,3480,No,No,Yes,Yes,Yes,Yes,Own,1,1,Incompleted,10-03-2013,10-03-2013
143,Namakkal,Pallipalayam,MUNICIPAL MIDDLE SCHOOL CNP,33091100104,Primary School,Tamil,638183,Yes,No,1986,624,0,17,21,0,0,21500,5145,16355,Yes,No,No,Yes,Yes,Yes,Own,1,4,Incompleted,10-03-2013,10-03-2013
144,Namakkal,Pallipalayam,MUNICIPAL MIDDLE SCHOOL,33091100106,Secondary School,Tamil,638183,No,Yes,2006,371,1,12,13,0,0,7500,5226,2274,No,No,No,Yes,No,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
145,Namakkal,Komarapalayam,MUNICIPAL ELEMENTARY SCHOOL,33091100109,Primary School,Tamil,638183,No,No,1967,139,3,6,6,0,0,1850,1850,0,No,No,Yes,Yes,No,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
146,Namakkal,Komarapalayam,MUNICIPAL MIDDLE SCHOOL,33091100111,Secondary School,Tamil,638183,No,No,1900,464,12,16,13,0,0,13732,6957,0,No,No,No,No,No,No,Own,3,0,Incompleted,10-03-2013,10-03-2013
147,Namakkal,Komarapalayam,MUNICIPAL ELEMENTARY SCHOOL,33091100112,Primary School,Tamil,638183,No,Yes,2012,135,1,6,6,3,0,14000,9000,5000,No,No,Yes,Yes,No,No,Own,0,2,Incompleted,10-03-2013,10-03-2013
148,Namakkal,Komarapalayam,MUNICIPAL ELEMENTARY SCHOOL,33091100127,Primary School,Tamil,638183,No,No,1975,42,4,2,2,0,0,5500,1500,4000,No,No,Yes,Yes,No,No,Own,4,1,Incompleted,10-03-2013,10-03-2013
149,Namakkal,Komarapalayam,M E SCHOOL JKK SUNDARAM NAGAR,33091100128,Primary School,Tamil,638183,No,No,1967,234,0,8,10,30,4,6575,4460,2115,No,No,No,No,No,Yes,No,0,1,Incompleted,10-03-2013,10-03-2013
150,Erode,Bhavani,MUNICIPAL MIDDLE SCHOOL,33100301801,Primary School,Tamil,638301,No,Yes,1924,182,1,6,8,45,0,1561,506,0,Yes,No,Yes,Yes,Yes,Yes,Own,1,2,Incompleted,10-03-2013,10-03-2013
151,Erode,Bhavani,MUNICIPAL MIDDLE SCHOOL,33100301803,Primary School,Tamil,638302,No,No,1959,218,0,9,10,20,0,12000,10000,10000,No,No,No,Yes,Yes,Yes,Own,0,2,Incompleted,10-03-2013,10-03-2013
152,Erode,Bhavani,MUNICIPAL PRIMARY SCHOOL,33100301805,Primary School,Tamil,638301,No,No,1999,144,0,7,7,0,3,9600,5800,3800,No,No,No,Yes,Yes,Yes,Own,2,1,Incompleted,10-03-2013,10-03-2013
153,Erode,Bhavani,MUNICIPAL PRIMARY SCHOOL,33100301807,Primary School,Tamil,638301,Yes,Yes,1952,79,3,3,4,2,0,330,0,0,Yes,No,Yes,Yes,No,Yes,No,1,1,Completed,10-03-2013,10-03-2013
154,Erode,Bhavani,MUNICIPAL MIDDLE SCHOOL,33100301809,Primary School,Tamil,638301,No,Yes,1942,426,13,15,12,25,0,4104,4104,0,No,No,No,Yes,Yes,No,Own,1,1,Completed,10-03-2013,10-03-2013
155,Thiruppur,Dharapuram,MUNICIPAL MIDDLE SCHOOL,33100600502,Secondary School,Tamil,638656,No,No,1921,257,0,9,8,0,0,4000,3729,3729,No,No,No,Yes,No,No,Own,2,2,Completed,10-03-2013,10-03-2013
156,Thiruppur,Dharapuram,MUNICIPAL MIDDLE SCHOOL,33100601003,Primary School,Tamil,638656,Yes,Yes,1911,155,2,9,7,0,0,28657,6292,28657,Yes,No,Yes,Yes,Yes,No,Corporation,1,1,Completed,10-03-2013,10-03-2013
157,Thiruppur,Dharapuram,MMS VALAYAKARA STREET,33100601008,Secondary School,Tamil,638656,Yes,Yes,1951,163,15,7,4,0,3,2000,1000,1000,Yes,Yes,No,Yes,Yes,Yes,Corporation,1,2,Completed,10-03-2013,10-03-2013
158,Thiruppur,Dharapuram,NCP MUNICIPAL HRSEC SCHOOL,33100601010,High School,Tamil,638656,Yes,No,1957,992,12,36,25,1200,2,238928,21800,130800,No,No,Yes,Yes,Yes,No,Corporation,1,0,Completed,10-03-2013,10-03-2013
159,Thiruppur,Dharapuram,MUNICIPAL SCHOOL WEST BLJIWAR STREET,33100601011,Primary School,Tamil,638656,No,No,1936,85,0,4,2,2,4,23788,22188,26759,No,No,No,Yes,Yes,Yes,Corporation,1,0,Completed,10-03-2013,10-03-2013
160,Thiruppur,Dharapuram,MUNICIPAL MIDDLE SCHOOL KOLINJIVADI,33100601402,Secondary School,Tamil,638673,Yes,No,1939,270,5,13,13,400,0,14500,5100,0,No,No,No,Yes,Yes,Yes,Own,1,3,Completed,10-03-2013,10-03-2013
161,Erode,Erode,MUNICIPAL HIGH SCHOOL,33100706004,High School,Tamil,638011,Yes,Yes,1967,385,4,17,13,107,0,12260,6725,1600,No,No,No,Yes,Yes,Yes,No,1,4,Incompleted,10-03-2013,10-03-2013
162,Erode,Erode,PUP SCHOOL VEERAPAN CHATRAM,33100707901,Primary School,English,638004,Yes,Yes,1967,699,0,24,24,4,6,4684,3544,1140,Yes,Yes,No,Yes,No,Yes,No,1,1,Incompleted,10-03-2013,10-03-2013
163,Erode,Erode,KAMARAJ MPL HRSEC SCHOOL,33100709403,High School,Tamil,638003,Yes,Yes,1983,5,599,33,720,0,0,26355,219,43,Yes,No,No,No,No,No,No,6,0,Incompleted,10-03-2013,10-03-2013
164,Erode,Gobichettipalayam,MUNICIPAL GIRLS HR SEC SCHOOL,33100801201,High School,Tamil,638476,Yes,No,1995,556,3,18,15,100,2,218000,32660,218000,Yes,No,No,Yes,Yes,No,Own,0,15,Completed,10-03-2013,10-03-2013
165,Erode,Madachur,MUNICIPAL HR SEC SCHOOL MODACHUR,33100801704,High School,Tamil,638476,No,No,1969,350,2,21,8,66,0,24360,7440,16720,No,No,No,Yes,Yes,No,Own,3,5,Incompleted,10-03-2013,10-03-2013
166,Erode,Veerapandi,JAYARAM MUNICIPAL MIDDLE SCHOOL,33100802608,Primary School,Tamil,638452,No,No,1968,114,10,7,6,0,0,15594,0,13000,Yes,No,No,Yes,Yes,Yes,Corporation,5,2,Completed,10-03-2013,10-03-2013
167,Erode,Veerapandi,MUNICIPAL ELEMENTARY SCHOOL,33100802609,Primary School,Tamil,638476,Yes,No,1951,139,7,5,5,250,0,7648,5648,7648,No,No,No,No,No,No,Corporation,1,2,Completed,10-03-2013,10-03-2013
168,Erode,Veerapandi,MUNICIPAL BOYS HR SEC SCHOOL,33100802610,High School,Tamil,638452,No,No,1957,350,2,23,10,0,2,10000,5000,5000,Yes,No,No,Yes,Yes,No,Own,0,2,Completed,10-03-2013,10-03-2013
169,Erode,Veerapandi,VENGAMMAIYAR MUNICIPAL PRIMARY SCHOOL,33100802611,Primary School,Tamil,638476,No,No,1969,131,13,5,5,235,0,683.55,593.02,783.55,No,No,No,No,Yes,No,Own,0,2,Completed,10-03-2013,10-03-2013
170,Erode,Gobichettipalayam,MUNICIPAL MIDDLE SCHOOL TOWN,33100802612,Secondary School,Tamil,638452,No,No,2008,85,3,7,13,40,0,228,174,194,No,No,No,Yes,Yes,No,Corporation,1,3,Completed,10-03-2013,10-03-2013
171,Erode,Veerapandi,VENGAMMAIYAR MUNICIPAL HIGH SCHOOL,33100802622,Secondary School,Tamil,638476,No,No,1970,234,12,10,10,10,0,5800,1550,2500,No,No,No,No,Yes,No,Own,2,4,Completed,10-03-2013,10-03-2013
172,Erode,Sathiyamangalam,MUNICIPAL PRIMARY SCHOOL KOLATHUR,33101601401,Primary School,Tamil,638401,No,No,1970,25,2,1,3,0,0,7000,1300,7000,No,Yes,No,Yes,No,No,Sintex Tank,1,1,Completed,10-03-2013,10-03-2013
173,Erode,Sathiyamangalam,RMP NAGAR MUNICIPAL SCHOOL,33101601403,Primary School,Tamil,638402,No,Yes,1960,70,2,3,4,0,2,20336,2522,20336,No,No,No,Yes,No,No,Sintex Tank,4,1,Completed,10-03-2013,10-03-2013
174,Erode,Sathiyamangalam,MUNICIPAL MIDDLE SCHOOL,33101601408,Primary School,Tamil,638401,Yes,Yes,1960,242,10,7,10,242,2,23242,8941,23242,No,No,No,Yes,Yes,Yes,No,2,2,Completed,10-03-2013,10-03-2013
175,Erode,Sathiyamangalam,MUNICIPAL HIGH SCHOOL RANGASAMUTHRAM,33101601416,High School,Tamil,638402,No,No,1967,470,7,13,15,10,0,40500,9700,40500,No,Yes,No,Yes,Yes,No,Sintex Tank,3,2,Completed,10-03-2013,10-03-2013
176,The Nilgiris,Udhagamandalam Town,MUNICIPAL PRIMARY SCHOOL,33110101502,Primary School,Tamil,643001,No,No,1922,41,2,1,4,10,0,1.5,1280,54500,No,No,No,No,No,No,Corporation,2,7,Incompleted,10-03-2013,10-03-2013
177,The Nilgiris,Udhagamandalam Town,MUNICIPAL PRIMARY SCHOOL,33110101504,Primary School,Tamil,643002,No,No,1922,20,0,2,5,160,4,63325,2152.8,0,No,No,No,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
178,The Nilgiris,Udhagamandalam Town,MUNICIPAL PRIMARY SCHOOL,33110101505,Primary School,Tamil,643002,No,No,1936,0,7,2,9,0,0,3600,1100,0,Yes,No,No,Yes,Yes,Yes,Corporation,1,5,Incompleted,10-03-2013,10-03-2013
179,The Nilgiris,Udhagamandalam Town,MUNICIPAL PRIMARY SCHOOL,33110101506,Primary School,Tamil,643001,Yes,Yes,1938,22,0,2,11,0,0,45,4320,0,No,No,No,Yes,No,No,Corporation,2,3,Incompleted,10-03-2013,10-03-2013
180,The Nilgiris,Udhagamandalam Town,MUNICIPAL MIDDLE SCHOOL,33110101525,Primary School,Tamil,643001,Yes,No,1967,121,1,6,8,0,0,50,1800,0,No,No,No,No,No,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
181,The Nilgiris,Udhagamandalam Town,MUNICIPAL URDU PRIMARY SCHOOL,33110101576,Primary School,Tamil,643006,Yes,No,1922,32,0,2,3,50,0,1150,0,1150,No,No,No,Yes,Yes,No,Corporation,3,1,Incompleted,10-03-2013,10-03-2013
182,The Nilgiris,Coonoor,MUNICIPAL PRIMARY SCHOOL ALWARPET,33110200601,Primary School,Tamil,643101,No,No,1923,19,0,2,3,50,2,6300,3000,6300,Yes,No,Yes,Yes,Yes,No,Corporation,1,1,Completed,10-03-2013,10-03-2013
183,The Nilgiris,Coonoor,MUNICIPAL PRIMARY SCHOOL VANNARPET,33110200602,Primary School,Tamil,643102,Yes,Yes,1921,14,2,2,6,200,2,3500,3500,3500,No,No,Yes,Yes,No,No,Corporation,3,1,Completed,10-03-2013,10-03-2013
184,The Nilgiris,Coonoor,MUNICIPAL PRIMARY SCHOOL TOWN COONOOR,33110200604,Primary School,Tamil,643102,Yes,Yes,1969,11,3,3,3,250,1,2600,1500,1500,No,No,No,Yes,Yes,No,Corporation,3,3,Completed,10-03-2013,10-03-2013
