S.No,District,Village Panchayat,School Name,School_id,Category of School,School medium,Pincode,School main area,School located in commerical area,establishment year,Number of Students,Number of Differently abled student,Number of Staff,Number of Classrooms,Number of seats,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Type of Water source,Number of Indian toilets availble for Boys,Number of Indian toilets availble for Girls,Status of the data set collected,Created_date,Modified_date
365,Virudhunagar,Srivilliputtur,MUNICIPAL MIDDLE SCHOOL,33260710238,Secondary School,Tamil,626125,No,No,2011,125,5,6,12,12,12,3693,2500,0,No,No,No,No,No,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
366,Virudhunagar,Srivilliputtur,MUNICIPAL KAMMAPATTI MIDDLE SCHOOL,33260710239,Secondary School,Tamil,626125,Yes,No,1934,143,4,8,8,330,0,772,492,280,No,No,Yes,Yes,No,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
367,Virudhunagar,Srivilliputtur,MUNICIPAL METTU STREET MIDDLE SCHOOL,33260710240,Primary School,Tamil,626125,No,Yes,1969,61,6,4,8,311,0,2740,2370,370,Yes,No,No,Yes,No,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
368,Virudhunagar,Srivilliputtur,MUNICIPAL TVK HIGHER SECONTARY SCHOOL,33260710244,High School,Tamil,626125,Yes,Yes,1967,415,0,15,12,320,2,95000,7200,0,No,No,Yes,Yes,Yes,No,Corporation,2,5,Incompleted,10-03-2013,10-03-2013
369,Virudhunagar,Sivakasi,MUNICIPAL HIGH SCHOOL AMMAN KOVIL PATTI,33260910504,Secondary School,Tamil,626189,Yes,Yes,1967,956,6,36,25,109,2,32500,32500,19500,Yes,No,No,Yes,Yes,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
370,Virudhunagar,Sivakasi,MUNICIPAL MUSLIM PRIMARY SCHOOL SIVAKASI,33260910505,Primary School,Tamil,626123,No,No,1967,20,6,2,2,0,0,2220,820,1400,No,No,No,No,No,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
371,Virudhunagar,Sivakasi,AVT MUNICIPAL HIGH SCHOOL,33260910524,Primary School,Tamil,626123,Yes,No,1967,114,3,10,8,40,0,84281,54734,84281,Yes,No,No,Yes,Yes,No,Corporation,2,6,Incompleted,10-03-2013,10-03-2013
372,Virudhunagar,Sivakasi,AU MUNICIPAL HR SEC SCHOOL SIVAKASI,33260910534,High School,Tamil,626123,Yes,Yes,1967,615,0,22,17,550,2,0,0,0,Yes,Yes,No,Yes,No,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
373,Virudhunagar,Sattur,MUNICIPAL HR SEC SCHOOL MELAGANDHINAGAR,33261110101,High School,Tamil,626203,No,No,1967,360,7,20,4,14,0,5787,3168,5787,No,No,No,No,No,No,Own,0,3,Incompleted,10-03-2013,10-03-2013
374,Virudhunagar,Sattur,MUNICIPAL MIDDLE SCHOOL VELLAKKARAI ROAD,33261110112,Secondary School,Tamil,626203,Yes,Yes,1967,95,4,5,6,38,1,2200,2200,0,Yes,No,Yes,Yes,No,Yes,Own,1,2,Incompleted,10-03-2013,10-03-2013
375,Virudhunagar,Sattur,MUICIPAL PRIMARY SCHOOL MELAGANDHINAGAR,33261110127,Primary School,Tamil,626203,Yes,No,1971,200,6,6,5,0,0,5306,2241,5306,No,No,No,Yes,Yes,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
376,Ramanathapuram,Paramakudi,"MUNICIPAL MIDDLE SCHOOL, EMANESWARAM",33270309101,Primary School,Tamil,623707,No,No,1939,79,5,6,5,3,3,774,224,0,No,No,No,No,No,No,Corporation,3,2,Incompleted,10-03-2013,10-03-2013
377,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, EMANESWARAM",33270309201,Primary School,Tamil,623701,Yes,No,2011,29,0,2,2,105,0,4000,1000,0,No,No,Yes,No,Yes,No,Corporation,1,,Incompleted,10-03-2013,10-03-2013
378,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, GANDHI NAGAR",33270309202,Primary School,Tamil,623701,Yes,No,1965,28,0,2,2,2,2,1400,750,0,No,No,Yes,No,No,No,Corporation,0,0,Incompleted,10-03-2013,10-03-2013
379,Ramanathapuram,Paramakudi,"MUNICIPAL MIDDLE SCHOOL, EMANESWARAM",33270309203,Primary School,Tamil,623701,No,No,1982,483,4,16,14,300,0,65400,2000,65400,No,No,Yes,No,Yes,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
380,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, JEEVANAGAR",33270309801,Primary School,Tamil,623701,Yes,No,1935,215,1,9,7,0,0,10000,5000,5000,No,No,No,No,No,No,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
381,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, MELACHATRAM",33270311101,Primary School,Tamil,623707,No,Yes,1967,30,2,3,5,30,2,2550,2550,4150,No,Yes,Yes,No,Yes,No,Own,0,0,Incompleted,10-03-2013,10-03-2013
382,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, MANI NAGAR",33270311301,Primary School,Tamil,623707,Yes,No,1962,22,0,2,3,0,0,1650,1650,0,No,No,Yes,No,Yes,No,Corporation,3,0,Incompleted,10-03-2013,10-03-2013
383,Thoothukkudi,Pannam,MUNICIPAL PRIMARY SCHOOLLEVINGI PURAM,33280104701,Primary School,Tamil,628003,No,No,1967,78,2,7,4,10,0,0,0,0,No,No,Yes,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
384,Thoothukkudi,Pannam,MUNICIPAL MIDDLE SCHOOL SOUTH NEW STREET,33280105303,Primary School,Tamil,628002,No,Yes,1967,52,7,4,10,20,0,5800,5800,0,No,No,Yes,Yes,Yes,No,Corporation,1,1,Completed,10-03-2013,10-03-2013
385,Thoothukkudi,Kovilpatti,GANDHI NAGAR MUNICIPAL HIGH SCHOOL,33280804001,Secondary School,Tamil,628501,No,No,1967,282,4,12,9,1,0,24000,6000,18000,No,No,No,Yes,Yes,No,Own,1,4,Incompleted,10-03-2013,10-03-2013
386,Thoothukkudi,Kovilpatti,GANDHI NAGAR MUNICIPAL PRIMARY SCHOOL,33280804013,Primary School,Tamil,628502,Yes,Yes,1967,135,2,6,6,6,0,5200,4000,1200,No,No,No,Yes,Yes,No,Corporation,1,71,Incompleted,10-03-2013,10-03-2013
387,Thoothukkudi,Kovilpatti,MUNICIPAL PRIMARY SCHOOL,33280804701,Primary School,Tamil,628501,Yes,Yes,1967,22,0,2,2,2,0,3450,1450,2000,No,No,No,Yes,Yes,Yes,Corporation,1,1,Incompleted,10-03-2013,10-03-2013
388,Thoothukkudi,Kovilpatti,MUNICIPAL MIDDLE SCHOOL,33280804801,Primary School,Tamil,628501,Yes,Yes,1967,75,1,5,5,75,0,8736,6006,1000,No,No,No,Yes,No,No,Corporation,10,1,Incompleted,10-03-2013,10-03-2013
389,Thoothukkudi,Kovilpatti,MUNICIPAL PRIMARY SCHOOL,33280806101,Primary School,Tamil,628501,No,No,1967,74,0,4,4,4,0,2754,1274,480,No,No,No,Yes,Yes,No,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
390,Thoothukkudi,Kovilpatti,MUNICIPAL PRIMARY SCHOOL,33280806601,Primary School,Tamil,628501,No,No,1967,135,2,5,5,0,0,21220,13055,8165,Yes,No,Yes,Yes,Yes,No,Corporation,1,0,Incompleted,10-03-2013,10-03-2013
391,Tirunelveli,Kalappakulam,MUNICIPAL PRIMARY SCHOOL INDIANAGAR,33291501401,Primary School,Tamil,627756,No,No,1967,25,1,2,5,1,0,5060,2475,0,No,No,No,Yes,No,Yes,Corporation,2,0,Incompleted,10-03-2013,10-03-2013
392,Tirunelveli,Kalappakulam,MUNICIPAL MIDDLE SCHOOL SANKARANKOVIL,33291501402,Primary School,Tamil,627756,Yes,Yes,1941,301,5,9,10,320,1,10910,6012,4898,Yes,Yes,Yes,Yes,Yes,Yes,Corporation,7,0,Incompleted,10-03-2013,10-03-2013
393,Tirunelveli,Kalappakulam,MUNICPAL PRIMARY SCHOOL PATTATHUR,33291501403,Primary School,Tamil,627756,Yes,Yes,1967,37,0,2,2,1,1,2880,1750,1130,Yes,Yes,Yes,No,No,Yes,No,1,0,Incompleted,10-03-2013,10-03-2013
394,Tirunelveli,Kalappakulam,MUNICIPAL MIDDLE SCHOOL SANKARANKOVIL,33291501414,Primary School,Tamil,627756,Yes,No,1967,65,0,4,8,120,0,0,1420,2073.75,No,No,No,Yes,Yes,Yes,Corporation,5,0,Incompleted,10-03-2013,10-03-2013
395,Tirunelveli,Kalappakulam,MUNICIPAL MIDDLE SCHOOL EAST,33291501416,Primary School,Tamil,627756,No,No,1967,394,8,12,8,200,1,18262,1393,16869,No,No,Yes,Yes,Yes,Yes,Corporation,0,0,Incompleted,10-03-2013,10-03-2013
396,Tirunelveli,Kalappakulam,MUNICIPAL MIDDLE SCHOOL SANKARANKOVIL,33291501417,Primary School,Tamil,627756,Yes,Yes,1967,112,4,6,5,12,0,3873,2490,1383,No,No,No,Yes,Yes,Yes,Own,0,0,Incompleted,10-03-2013,10-03-2013
397,Tirunelveli,Tenkasi,MUNICIPAL PRIMARY SCHOOL WARD ONE,33291702101,Primary School,Tamil,627811,No,Yes,1967,29,1,2,1,30,0,1000,1000,0,No,No,No,Yes,Yes,Yes,Own,0,1,Incompleted,10-03-2013,10-03-2013
398,Tirunelveli,Tenkasi,MUNICIPAL MIDDLE SCHOOL WARD NO NINE,33291702102,Primary School,Tamil,627811,Yes,No,1967,216,0,8,8,250,0,2110,2110,0,No,No,No,Yes,Yes,No,Own,0,3,Incompleted,10-03-2013,10-03-2013
399,Tirunelveli,Tenkasi,MUNICIPAL MIDDLE SCHOOL WARD THIRTEEN,33291702103,Primary School,Tamil,627811,No,No,1967,127,1,8,8,5,0,1100,1100,0,No,No,No,No,Yes,Yes,Corporation,0,1,Incompleted,10-03-2013,10-03-2013
400,Tirunelveli,Tenkasi,MUNICIPAL MIDDLE SCHOOL WARD SEVEN,33291702104,Primary School,Tamil,627811,Yes,Yes,1967,57,4,6,5,57,3,1260,1034,126,Yes,No,Yes,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
401,Krishanagiri,Krishnagiri,MUNICIPAL MIDDLE SCHOOL,33311009502,Primary School,Tamil,635001,No,No,1967,302,3,10,11,302,0,2658,1708,950,Yes,No,Yes,Yes,Yes,Yes,Own,0,2,Incompleted,10-03-2013,10-03-2013
402,Krishanagiri,Krishnagiri,MUNICIPAL URDU MIDDLE SCHOOL,33311009503,Primary School,Tamil,635001,Yes,Yes,1967,94,1,4,2,80,0,1880,1880,0,Yes,No,No,Yes,Yes,No,Own,0,0,Incompleted,10-03-2013,10-03-2013
403,Krishanagiri,Krishnagiri,MINICIPAL URDU BOYS MIDDLE SCHOOL,33311009504,Primary School,Tamil,635001,Yes,Yes,1967,152,1,7,6,130,0,3900,1475,3900,No,No,No,No,Yes,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
404,Krishanagiri,Krishnagiri,MUNICIPAL MIDDLE SCHOOL OLD PET,33311009505,Secondary School,Tamil,635001,No,No,1967,351,11,12,19,351,0,12384,11844,540,No,No,Yes,Yes,No,No,Own,4,2,Incompleted,10-03-2013,10-03-2013
405,Krishanagiri,Krishnagiri,MUNICIPALITY PRIMARY SCHOOL,33311009509,Primary School,Tamil,635001,No,No,1967,65,0,2,3,150,4,40,5,25,Yes,No,No,No,Yes,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
406,Krishanagiri,Krishnagiri,MUNICIPAL PRIMARY SCHOOL,33311009510,Primary School,Tamil,635001,No,No,1967,155,0,6,6,0,2,775,396,775,No,No,No,No,Yes,Yes,Own,3,1,Incompleted,10-03-2013,10-03-2013
407,Krishanagiri,Krishnagiri,MUNICIPAL URDU GIRLS MIDDLE SCHOOL,33311009512,Primary School,Tamil,635001,No,No,1967,176,1760,7,9,240,0,10000,7500,10000,No,No,No,No,No,Yes,Own,1,3,Incompleted,10-03-2013,10-03-2013
408,Krishanagiri,Krishnagiri,MUNICIPAL MIDDLE SCHOOL SUB JAIL ROAD,33311009513,Secondary School,Tamil,635001,Yes,Yes,1967,209,0,12,10,209,0,12176,8026,3850,Yes,No,Yes,Yes,Yes,No,Own,1,2,Incompleted,10-03-2013,10-03-2013
409,Krishanagiri,Krishnagiri,MUNICIPAL MIDDLE SCHOOL,33311009514,Primary School,Tamil,635001,No,No,,325,4,13,16,180,1,10000,8000,2000,Yes,No,Yes,No,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
410,Krishanagiri,Krishnagiri,MUNICIPAL URDU PRIMARY SCHOOL,33311009542,Primary School,Tamil,635001,No,No,,40,2,3,2,20,0,750,750,750,No,Yes,No,Yes,Yes,Yes,Own,1,0,Incompleted,10-03-2013,10-03-2013
412,Sivaganga,Karaikudi (Municipal Urban),"MPL.PRI SCHOOL, NAGANADAPURAM",33230801110,Primary Only,Tamil,630001,Yes,No,,37,2,2,3,37,0,4897,1344,4897,No,No,Yes,Yes,Yes,Yes,Borewell,1,1,Completed,10-11-2013,10-11-2013
413,Thoothukkudi,Thoothukudi,"S.V.MUNICIPAL PS, WGC ROAD",33280105301,Primary Only,Tamil,628001,Yes,Yes,,33,2,2,3,60,0,260,194,65,No,No,Yes,Yes,Yes,No,Tank,0,1,Completed,10/18/2013,10/18/2013
414,Thoothukkudi,Thoothukudi,"MUNICIPAL MS, MELUR",33280102801,Primary With Upper Primary,Tamil,628002,No,Yes,,49,3,4,4,50,3,2000,1700,300,No,No,No,Yes,Yes,Yes,Tank,3,1,Completed,10/18/2013,10/18/2013
415,Coimbatore,Coimbatore,CPS SINGANALLUR WEST,33120500404,Primary Only,Tamil,641005,Yes,Yes,,105,1,4,4,200,0,2500,2500,0,No,No,No,Yes,No,No,Corporation,0,1,Completed,10/21/2013,10/21/2013
416,Thoothukkudi,Thoothukudi,"MUNICIPAL MS, SHUNMUGAPURAM",33280103301,Primary With Upper Primary,Tamil,628003,No,No,,119,0,5,5,200,0,4400,7532,2217,No,No,Yes,Yes,Yes,No,Stump,1,2,Completed,10/23/2013,10/23/2013
417,Thoothukkudi,Thoothukudi,"MUNICIPAL MS, GIN FACTORRY",33280103101,Primary With Upper Primary,Tamil,628002,Yes,Yes,,37,2,3,3,60,0,2356,1596,1760,No,No,Yes,Yes,Yes,No,Tank,1,1,Completed,10/23/2013,10/23/2013
418,Thoothukkudi,Thoothukudi,"MUNICIPAL MID S.,NPK STREET",33280102501,Primary With Upper Primary,Tamil,628001,Yes,Yes,,91,6,5,5,48,0,11387,11050,337,Yes,No,Yes,Yes,Yes,Yes,Tank,1,3,Completed,10/24/2013,10/24/2013
419,Thoothukkudi,Thoothukudi,"MPS, SAMUVELPURAM",33280100117,Primary Only,Tamil,628001,Yes,Yes,,284,0,9,8,300,0,2834,2500,2834,No,No,No,Yes,Yes,No,Well,1,1,Completed,10/24/2013,10/24/2013
420,Thoothukkudi,Thoothukudi,"MUNICIPAL PS, TOOVEPURAM",33280104001,Primary Only,Tamil,628003,No,No,,24,1,2,2,30,0,1100,900,200,No,No,Yes,Yes,Yes,No,Well,0,1,Completed,10/25/2013,10/25/2013
421,Coimbatore,Coimbatore,CPS OKKILIYAR COLONY,33120102901,Primary Only,Tamil,641001,No,Yes,,193,1,5,15,400,0,31640,6475,7140,No,No,Yes,Yes,No,No,Corporation,0,2,Completed,10/29/2013,10/29/2013
422,Coimbatore,Coimbatore,PVP MEMORIAL CORP PRY SC. EAST,33120100402,Primary Only,Tamil,641002,Yes,Yes,,137,2,4,5,150,0,10323,10123,200,No,No,Yes,Yes,Yes,Yes,Corporation,1,2,Completed,11-11-2013,11-11-2013
423,Coimbatore,Coimbatore,CPS VELANDIPALAYAM,33120401001,Primary Only,Tamil,641013,No,No,,202,2,6,9,400,0,8624,5038,4586,No,No,No,No,No,No,Corporation,0,2,Completed,11/13/2013,11/13/2013
424,Coimbatore,Mettupalayam,MMS MANI NAGAR,33121702012,Primary With Upper Primary,Tamil,641301,No,No,,213,2,7,12,280,2,64000,50000,14000,Yes,No,Yes,Yes,Yes,Yes,Tank,1,1,Completed,11/14/2013,11/14/2013
425,Coimbatore,Mettupalayam,MPS KATTUR,33121702001,Primary Only,Tamil,641301,No,No,,19,2,4,2,50,0,5000,3000,2000,Yes,No,Yes,Yes,Yes,Yes,Tank,2,1,Completed,11/14/2013,11/14/2013
426,Coimbatore,Mettupalayam,MPS SATHYA MOORTHY NAGAR,33121702003,Primary Only,Tamil,641301,No,No,,78,5,2,7,100,0,24400,3560,0,No,No,Yes,Yes,Yes,Yes,Tank,0,1,Completed,11/14/2013,11/14/2013
427,Coimbatore,Coimbatore,CPS SELVAPURAM MAIN,33120103602,Primary Only,Tamil,641026,Yes,Yes,,234,2,6,12,300,0,12410,6300,5310,No,No,Yes,Yes,No,No,Corporation,0,4,Completed,11/16/2013,11/16/2013
428,Coimbatore,Coimbatore,CPS SINGANALLUR SOUTH,33120500403,Primary Only,Tamil,641005,No,Yes,,73,0,3,2,100,0,2254,2254,0,No,No,No,Yes,No,No,Corporation,1,1,Completed,11/17/2013,11/17/2013
429,Coimbatore,Coimbatore,CMS RAMAKRISHNAPURAM,33120401601,Primary With Upper Primary,Tamil,641006,Yes,Yes,,179,4,6,6,300,0,2470,723,1747,No,No,No,Yes,Yes,No,Corporation,0,4,Completed,11/18/2013,11/18/2013
430,Coimbatore,Coimbatore,CHSS SRP AMMANIAMMAL RSPURAM,33120100404,Higher Sec. Schools(Vi-Xii),Tamil,641002,Yes,Yes,,1119,0,29,25,2,1,85000,25000,85000,Yes,Yes,Yes,Yes,Yes,Yes,Corporation,1,25,Completed,11/18/2013,11/18/2013
431,Coimbatore,Coimbatore,CMS NEELIKONAMPALAYAM,33120500415,Primary With Upper Primary,Tamil,641033,No,Yes,,137,5,7,8,400,0,5940,5040,900,No,No,Yes,Yes,No,No,Corporation,2,4,Completed,11/18/2013,11/18/2013
432,Coimbatore,Coimbatore,CPS RSPURAM NORTH,33120100401,Primary Only,Tamil,641002,Yes,Yes,,33,2,2,12,360,0,21946,3617,18329,No,No,No,Yes,Yes,No,Corporation,0,1,Completed,11/18/2013,11/18/2013
433,Coimbatore,Coimbatore,CMS UPPILIPALAYAM,33120500102,Primary With Upper Primary,Tamil,641015,No,No,,76,2,5,10,100,0,5963,3110,1113,No,No,No,Yes,Yes,No,Corporation,1,2,Completed,11/18/2013,11/18/2013
434,Coimbatore,Coimbatore,CPS BB STREET,33120103001,Primary Only,Tamil,641001,Yes,Yes,,35,13,2,3,100,0,3600,2813,787,No,No,No,Yes,Yes,No,Corporation,0,2,Completed,11/19/2013,11/19/2013
435,Coimbatore,Coimbatore,CPS MANIAKARAMPALAYAM,33120401602,Primary Only,Tamil,641006,Yes,Yes,,226,0,5,9,270,0,4500,2500,2000,No,No,No,Yes,Yes,No,Corporation,0,6,Completed,11/19/2013,11/19/2013
436,Coimbatore,Coimbatore,CPS RAMALINGAM COLONY,33120100103,Primary Only,Tamil,641043,No,Yes,,32,4,2,15,300,0,30989,10540,20449,No,No,No,Yes,No,No,Corporation,0,5,Completed,11/19/2013,11/19/2013
437,Coimbatore,Coimbatore,CPS MUTHUSAMY COLONY,33120400601,Primary Only,Tamil,641026,Yes,No,,80,4,3,5,150,0,7596,2646,4190,No,No,No,Yes,No,No,Corporation,2,1,Completed,11/19/2013,11/19/2013
438,Coimbatore,Coimbatore,CPS GANAPATHY,33120401501,Primary Only,Tamil,641006,Yes,Yes,,568,4,13,20,600,0,15000,9600,5400,No,No,Yes,Yes,No,No,Corporation,2,6,Completed,11/19/2013,11/19/2013
439,Coimbatore,Coimbatore,CPS SARAMEDU,33120500409,Primary Only,Tamil,641008,No,Yes,,81,2,3,3,100,0,1032,815,217,No,No,No,Yes,Yes,No,Corporation,0,1,Completed,11/20/2013,11/20/2013
440,Coimbatore,Coimbatore,CGHSS OPPANAKARA STREET,33120102310,Higher Sec. Schools,English,641001,Yes,Yes,,1460,0,39,30,1500,1,32000,22500,9500,No,No,Yes,Yes,Yes,Yes,Corporation,1,20,Completed,11/20/2013,11/20/2013
441,Coimbatore,Coimbatore,CHSS OKKILIYAR COLONY,33120102903,Higher Sec. Schools,Tamil,641001,No,No,,497,1,19,19,700,1,130800,11110,119690,No,Yes,No,Yes,No,No,Corporation,1,3,Completed,11/20/2013,11/20/2013
442,Coimbatore,Coimbatore,CPS NESAVALAR COLONY,33120500443,Primary Only,Tamil,641016,No,Yes,,137,1,6,10,500,1,13080,6540,6000,No,No,Yes,Yes,No,Yes,Corporation,1,2,Completed,11/20/2013,11/20/2013
443,Coimbatore,Coimbatore,CPS VARADHARAJAPURAM,33120500105,Primary Only,Tamil,641015,No,Yes,,112,1,5,4,140,0,143341,2670,89590,No,No,Yes,Yes,No,No,Corporation,1,2,Completed,11/20/2013,11/20/2013
444,Coimbatore,Coimbatore,CPS ONDIPUDUR SOUTH,33120500410,Primary Only,Tamil,641016,Yes,Yes,,203,1,6,7,400,0,15428,7040,8388,No,No,No,Yes,No,No,Corporation,0,3,Completed,11/20/2013,11/20/2013
445,Coimbatore,Coimbatore,CPS SELVAPURAM NORTH,33120103601,Primary Only,Tamil,641026,Yes,Yes,,373,4,9,10,400,0,31322,3500,20680,No,No,No,Yes,No,No,Corporation,1,3,Completed,11/21/2013,11/21/2013
446,Coimbatore,Coimbatore,VERIVADA CHETTIAR PRY SCHOOL,33120100901,Primary Only,Tamil,641045,Yes,Yes,,55,3,2,12,200,0,18900,10815,8500,No,No,No,Yes,No,No,Corporation,1,3,Completed,11/21/2013,11/21/2013
447,Coimbatore,Mettupalayam,VALLUVAR M.E.S. METTUPALAYAM,33121702008,Primary Only,Tamil,641301,No,No,,68,1,4,3,100,2,12528,6333,6195,Yes,No,Yes,Yes,Yes,Yes,Tank,1,1,Completed,11/21/2013,11/21/2013
448,Coimbatore,Mettupalayam,"NEHRUJI ELE SCHOOL, MTO",33121702007,Primary Only,Tamil,641301,No,No,,35,1,2,6,200,2,3000,1500,1500,Yes,No,Yes,Yes,Yes,Yes,Tank,0,1,Completed,11/21/2013,11/21/2013
449,Coimbatore,Mettupalayam,VOC E.S. METTUPALAYAM,33121702005,Primary Only,Tamil,641301,No,No,,20,0,2,2,50,0,200,150,50,Yes,No,No,Yes,Yes,Yes,Tank,0,1,Completed,11/21/2013,11/21/2013
450,Coimbatore,Mettupalayam,NETHAJI EI S.M.T.P.,33121702006,Primary Only,Tamil,641301,No,No,,80,2,3,4,80,2,7640,2880,2880,No,No,Yes,Yes,Yes,Yes,Tank,0,1,Completed,11/21/2013,11/21/2013
451,Thoothukkudi,Thoothukudi,"MUNICIPAL HS, SAMUVELPURAM",33280101201,High Schools,Tamil,628001,Yes,No,,295,0,19,3,0,0,2834,2500,334,No,No,No,Yes,Yes,No,Tanks,0,1,Completed,11/21/2013,11/21/2013
452,Coimbatore,Mettupalayam,MPS ANNA NAGAR,33121702002,Primary Only,Tamil,641301,No,No,,25,2,3,5,80,2,3000,1500,1000,Yes,No,No,Yes,Yes,Yes,Tank,1,1,Completed,11/21/2013,11/21/2013
453,Coimbatore,Mettupalayam,MES ANNUR ROAD,33121702022,Primary Only,Tamil,641301,Yes,Yes,,57,3,2,2,100,1,3000,2000,1000,No,No,Yes,Yes,Yes,Yes,Municipality,1,1,Completed,11/22/2013,11/22/2013
454,Coimbatore,Mettupalayam,MMS SANKAR NAGAR,33121702011,Primary With Upper Primary,Tamil,641301,Yes,No,,318,7,14,12,300,2,7848,4398,100,No,No,Yes,Yes,Yes,Yes,Tank,1,1,Completed,11/22/2013,11/22/2013
455,Coimbatore,Coimbatore,CMS SIHS COLONY,33120500412,Primary With Upper Primary,Tamil,641014,No,Yes,,211,3,7,8,300,0,33970,12470,21070,No,No,Yes,Yes,No,No,Corporation,1,2,Completed,11/22/2013,11/22/2013
456,Coimbatore,Coimbatore,CORP BHSS SIDHAPUDUR,33120101703,Higher Sec. Schools,Tamil,641044,No,No,,731,0,25,23,731,2,73425,31996,41429,No,No,Yes,Yes,No,No,Corporation,6,6,Completed,11/22/2013,11/22/2013
457,Thiruppur,Udumalpet,MMS NELLU KADAI STREET,33121302715,Primary With Upper Primary,Tamil,642126,Yes,Yes,,116,0,5,7,116,0,3400,3000,0,No,No,Yes,Yes,Yes,Yes,Municipality,1,1,Completed,11/25/2013,11/25/2013
